code;country;society;logo
GER;Germany;German GFA;GFAlogo.svg
ETH;Ethiopia;Ethiopia GIZ;GermanEthiopia.svg
SLO;Slovenia;Geocodis;Geocodis.svg
ETH;Ethiopia;MoA ;MoAEthiopia.svg
